"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:22:36.0085259 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:36.0085542 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:22:36.0085681 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:36.0087554 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:36.0087714 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:22:36.0087812 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:36.0327640 PM","Explorer.EXE","9848","CreateFile","D:\desktop.ini","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:22:36.0328907 PM","Explorer.EXE","9848","CreateFile","D:\desktop.ini","NAME NOT FOUND","Desired Access: Read Attributes, Read Control, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a"
"9:22:36.0330076 PM","Explorer.EXE","9848","CreateFile","D:\desktop.ini","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:22:36.0331470 PM","Explorer.EXE","9848","CreateFile","D:\desktop.ini","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:22:36.0332705 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:36.0332961 PM","Explorer.EXE","9848","QueryRemoteProtocolInformation","D:\","INVALID PARAMETER",""
"9:22:36.0333066 PM","Explorer.EXE","9848","QueryDirectory","D:\","SUCCESS","FileInformationClass: FileIdBothDirectoryInformation, 1: System Volume Information, 2: confidential-memo.pdf, 3: hr-record.pdf, 4: test-document.txt"
"9:22:36.0334414 PM","Explorer.EXE","9848","QueryDirectory","D:\","NO MORE FILES","FileInformationClass: FileIdBothDirectoryInformation"
"9:22:36.0334768 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:37.4914257 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.4914601 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.4915159 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.4915300 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.4915823 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.4916057 PM","Explorer.EXE","9848","DeviceIoControl","D:\confidential-memo.pdf","INVALID PARAMETER","Control: IOCTL_MOUNTDEV_QUERY_DEVICE_NAME"
"9:22:37.4916145 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.4916653 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","NAME INVALID","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a"
"9:22:37.5527511 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.5527771 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.5528795 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.5529023 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.5529747 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.5530031 PM","Explorer.EXE","9848","DeviceIoControl","D:\confidential-memo.pdf","INVALID PARAMETER","Control: IOCTL_MOUNTDEV_QUERY_DEVICE_NAME"
"9:22:37.5530290 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.5531455 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","NAME INVALID","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a"
"9:22:37.7712819 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.7712983 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\confidential-memo.pdf","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/10/2026 3:38:34 PM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:22:37.7713063 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.7713760 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Read Control, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.7713925 PM","Explorer.EXE","9848","QuerySecurityFile","D:\confidential-memo.pdf","INVALID DEVICE REQUEST","Information: Label"
"9:22:37.7714016 PM","Explorer.EXE","9848","QuerySecurityFile","D:\confidential-memo.pdf","INVALID DEVICE REQUEST","Information: Label"
"9:22:37.7714138 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.7715044 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.7715155 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\confidential-memo.pdf","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/10/2026 3:38:34 PM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:22:37.7715226 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.7716267 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.7716377 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\confidential-memo.pdf","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/10/2026 3:38:34 PM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:22:37.7716449 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.7717360 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf:Zone.Identifier","NAME INVALID","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:22:37.7717924 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.7718079 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.7718662 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.7718797 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.7719252 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.7719481 PM","Explorer.EXE","9848","DeviceIoControl","D:\confidential-memo.pdf","INVALID PARAMETER","Control: IOCTL_MOUNTDEV_QUERY_DEVICE_NAME"
"9:22:37.7719568 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.7720050 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","NAME INVALID","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a"
"9:22:37.8185591 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.8185850 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:22:37.8185957 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:37.8611683 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.8611865 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\confidential-memo.pdf","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/10/2026 3:38:34 PM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:22:37.8611946 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.8613007 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.8613112 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\confidential-memo.pdf","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/10/2026 3:38:34 PM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:22:37.8613180 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.8832227 PM","Acrobat.exe","5444","CreateFile","D:\","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.8879999 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.8880291 PM","Explorer.EXE","9848","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:22:37.8880435 PM","Explorer.EXE","9848","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:22:37.8880542 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:37.8881815 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.8882298 PM","Explorer.EXE","9848","QueryNetworkOpenInformationFile","D:\confidential-memo.pdf","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/10/2026 3:38:34 PM, ChangeTime: 1/1/1601 2:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:22:37.8882413 PM","Explorer.EXE","9848","FileSystemControl","D:\confidential-memo.pdf","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:22:37.8882632 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.9170235 PM","Acrobat.exe","5444","FileSystemControl","D:\","SUCCESS","Control: FSCTL_IS_VOLUME_MOUNTED"
"9:22:37.9184693 PM","Acrobat.exe","5444","FileSystemControl","D:\","SUCCESS","Control: FSCTL_IS_VOLUME_MOUNTED"
"9:22:37.9186251 PM","Acrobat.exe","5444","CloseFile","D:\","SUCCESS",""
"9:22:37.9203662 PM","Acrobat.exe","5444","CreateFile","D:\","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.9281023 PM","Acrobat.exe","5444","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open No Recall, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.9283404 PM","Acrobat.exe","5444","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.9285683 PM","Acrobat.exe","5444","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open No Recall, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.9286337 PM","Acrobat.exe","5444","QueryNameInformationFile","D:\confidential-memo.pdf","SUCCESS","Name: \confidential-memo.pdf"
"9:22:37.9286635 PM","Acrobat.exe","5444","QueryNameInformationFile","D:\confidential-memo.pdf","SUCCESS","Name: \confidential-memo.pdf"
"9:22:37.9287422 PM","Acrobat.exe","5444","QueryNormalizedNameInformationFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.9287768 PM","Acrobat.exe","5444","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:37.9365968 PM","Acrobat.exe","5444","FileSystemControl","D:\","SUCCESS","Control: FSCTL_IS_VOLUME_MOUNTED"
"9:22:37.9368011 PM","Acrobat.exe","5444","CloseFile","D:\","SUCCESS",""
"9:22:37.9381403 PM","Acrobat.exe","5444","CreateFile","D:\","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.9615600 PM","Acrobat.exe","5444","FileSystemControl","D:\","SUCCESS","Control: FSCTL_IS_VOLUME_MOUNTED"
"9:22:37.9616883 PM","Acrobat.exe","5444","CloseFile","D:\","SUCCESS",""
"9:22:37.9617338 PM","Acrobat.exe","5444","CreateFile","D:\","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.9929868 PM","Acrobat.exe","5444","FileSystemControl","D:\","SUCCESS","Control: FSCTL_IS_VOLUME_MOUNTED"
"9:22:37.9931406 PM","Acrobat.exe","5444","CloseFile","D:\","SUCCESS",""
"9:22:37.9931873 PM","Acrobat.exe","5444","CreateFile","D:\","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:37.9932743 PM","Acrobat.exe","5444","FileSystemControl","D:\","SUCCESS","Control: FSCTL_IS_VOLUME_MOUNTED"
"9:22:37.9933768 PM","Acrobat.exe","5444","CloseFile","D:\","SUCCESS",""
"9:22:37.9934174 PM","Acrobat.exe","5444","CreateFile","D:\","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.0549357 PM","Acrobat.exe","5444","FileSystemControl","D:\","SUCCESS","Control: FSCTL_IS_VOLUME_MOUNTED"
"9:22:38.0550651 PM","Acrobat.exe","5444","CloseFile","D:\","SUCCESS",""
"9:22:38.0551068 PM","Acrobat.exe","5444","CreateFile","D:\","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.0571250 PM","Acrobat.exe","5444","CloseFile","D:\","SUCCESS",""
"9:22:38.0916727 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.0917091 PM","Explorer.EXE","9848","QueryRemoteProtocolInformation","D:\","INVALID PARAMETER",""
"9:22:38.0917203 PM","Explorer.EXE","9848","QueryDirectory","D:\confidential-memo.pdf","SUCCESS","FileInformationClass: FileIdBothDirectoryInformation, Filter: confidential-memo.pdf, 2: confidential-memo.pdf"
"9:22:38.0917693 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:38.0928477 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.0928711 PM","Explorer.EXE","9848","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:22:38.0928874 PM","Explorer.EXE","9848","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:22:38.0928987 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:38.0929879 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.0930054 PM","Explorer.EXE","9848","QueryNetworkOpenInformationFile","D:\confidential-memo.pdf","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/10/2026 3:38:34 PM, ChangeTime: 1/1/1601 2:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:22:38.0930314 PM","Explorer.EXE","9848","FileSystemControl","D:\confidential-memo.pdf","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:22:38.0930546 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:38.1017182 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.1017427 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:22:38.1017505 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:38.1019547 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.1019734 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:22:38.1019817 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:38.1595195 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.1595648 PM","Explorer.EXE","9848","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:22:38.1595885 PM","Explorer.EXE","9848","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:22:38.1596152 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:38.1597527 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.1597833 PM","Explorer.EXE","9848","QueryNetworkOpenInformationFile","D:\confidential-memo.pdf","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/10/2026 3:38:34 PM, ChangeTime: 1/1/1601 2:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:22:38.1598019 PM","Explorer.EXE","9848","FileSystemControl","D:\confidential-memo.pdf","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:22:38.1598153 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:38.1811295 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.1811732 PM","Explorer.EXE","9848","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:22:38.1811923 PM","Explorer.EXE","9848","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:22:38.1812044 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:22:38.1813131 PM","Explorer.EXE","9848","CreateFile","D:\confidential-memo.pdf","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.1813507 PM","Explorer.EXE","9848","QueryNetworkOpenInformationFile","D:\confidential-memo.pdf","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 9/10/2026 3:38:34 PM, ChangeTime: 1/1/1601 2:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:22:38.1813619 PM","Explorer.EXE","9848","FileSystemControl","D:\confidential-memo.pdf","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:22:38.1813731 PM","Explorer.EXE","9848","CloseFile","D:\confidential-memo.pdf","SUCCESS",""
"9:22:38.1814336 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:22:38.1814523 PM","Explorer.EXE","9848","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:22:38.1814681 PM","Explorer.EXE","9848","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:22:38.1814795 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
